dataset,model,epoch,val_accuracy,cumulative_co2_g,elapsed_time_min
CIFAR-10,mobilenetv2,1,0.10000000149011612,0.35918809665451773,1.7894852916399637
CIFAR-10,mobilenetv2,2,0.10000000149011612,0.4218160936642507,2.046338371435801
CIFAR-10,mobilenetv2,3,0.10000000149011612,0.5115604987135777,2.4495164195696515
CIFAR-10,mobilenetv2,4,0.10000000149011612,0.6021077841954153,2.855111372470856
CIFAR-10,mobilenetv2,5,0.12770000100135803,0.6640918622558056,3.110882000128428
CIFAR-10,mobilenetv2,6,0.2867000102996826,0.7230931887643908,3.347809294859568
CIFAR-10,mobilenetv2,7,0.4311000108718872,0.782110425162629,3.5829172372817992
CIFAR-10,mobilenetv2,8,0.5670999884605408,0.84173435060545,3.817440557479858
CIFAR-10,mobilenetv2,9,0.559499979019165,0.9027405558413171,4.055887917677562
CIFAR-10,mobilenetv2,10,0.4878999888896942,0.963865074268848,4.293470346927643
CIFAR-10,mobilenetv2,11,0.22830000519752502,1.0246212856278716,4.530640355745951
CIFAR-10,mobilenetv2,12,0.5424000024795532,1.0850022275859406,4.767492016156514
CIFAR-10,mobilenetv2,13,0.5659000277519226,1.145269436849584,5.00333659251531
CIFAR-10,mobilenetv2,14,0.6193000078201294,1.2048841927919165,5.238333888848623
CIFAR-10,mobilenetv2,15,0.4925999939441681,1.2658835763528207,5.481475857893626
CIFAR-10,mobilenetv2,16,0.6015999913215637,1.3291590051693478,5.732260779539744
CIFAR-10,mobilenetv2,17,0.6797000169754028,1.3905073919022874,5.975898464520772
CIFAR-10,mobilenetv2,18,0.6787999868392944,1.4507225869028417,6.214437425136566
CIFAR-10,mobilenetv2,19,0.5396999716758728,1.5142981756513918,6.468228407700857
CIFAR-10,mobilenetv2,20,0.6306999921798706,1.5762675086024285,6.712662188212077
CIFAR-10,mobilenetv2,21,0.7014999985694885,1.637777271814697,6.9514715552330015
CIFAR-10,mobilenetv2,22,0.7153000235557556,1.6987414487531682,7.190232527256012
CIFAR-10,mobilenetv2,23,0.6564000248908997,1.7599061825590707,7.429692316055298
CIFAR-10,mobilenetv2,24,0.6825000047683716,1.8200608589598923,7.668381388982137
CIFAR-10,mobilenetv2,25,0.7246999740600586,1.8814983251738333,7.913688214619954
CIFAR-10,mobilenetv2,26,0.7329999804496765,1.9437286383005907,8.16063694556554
CIFAR-10,mobilenetv2,27,0.7267000079154968,2.0076379781953317,8.415735268592835
CIFAR-10,mobilenetv2,28,0.7330999970436096,2.0683968107354134,8.653905514876048
CIFAR-10,mobilenetv2,29,0.7160000205039978,2.1294638322701873,8.89202440182368
CIFAR-10,mobilenetv2,30,0.7350000143051147,2.1903031670450788,9.12968575557073
CIFAR-10,mobilenetv2,31,0.7204999923706055,2.2508165796298503,9.366725846131642
CIFAR-10,mobilenetv2,32,0.7235000133514404,2.311785884013745,9.606047868728638
CIFAR-10,mobilenetv2,33,0.6959999799728394,2.373060895584797,9.845902359485626
CIFAR-10,mobilenetv2,34,0.7484999895095825,2.4333637627239653,10.084974869092305
CIFAR-10,mobilenetv2,35,0.7208999991416931,2.4943518383951897,10.327822021643321
CIFAR-10,mobilenetv2,36,0.6753000020980835,2.556789435335352,10.57565495967865
CIFAR-10,mobilenetv2,37,0.7246999740600586,2.6176892861382903,10.817088838418325
CIFAR-10,mobilenetv2,38,0.5159000158309937,2.6774308431584966,11.052188694477081
CIFAR-10,mobilenetv2,39,0.7371000051498413,2.738575488483913,11.29111145734787
CIFAR-10,mobilenetv2,40,0.7300000190734863,2.799607114216473,11.52942361831665
CIFAR-10,mobilenetv2,41,0.7396000027656555,2.8606561245842106,11.768978559970856
CIFAR-10,mobilenetv2,42,0.741599977016449,2.9211906652568236,12.005608868598937
CIFAR-10,mobilenetv2,43,0.7221999764442444,2.98202271024548,12.242743070920309
CIFAR-10,mobilenetv2,44,0.7192999720573425,3.043482439343967,12.483286611239116
CIFAR-10,mobilenetv2,45,0.7300999760627747,3.1042410272540075,12.726182957490286
CIFAR-10,mobilenetv2,46,0.7146999835968018,3.166167437727009,12.972821072737377
CIFAR-10,mobilenetv2,47,0.7301999926567078,3.2290636351130897,13.22305205265681
CIFAR-10,mobilenetv2,48,0.7368000149726868,3.3239957664978963,13.636352888743083
CIFAR-10,mobilenetv2,49,0.7472000122070312,3.385950185759723,13.883058893680573
CIFAR-10,mobilenetv2,50,0.7315999865531921,3.446657630617611,14.120283242066701
