dataset,model,epoch,val_accuracy,cumulative_co2_g,elapsed_time_min
CIFAR-10,efficientnetb0,1,0.32179999351501465,1.0952796177828774,2.813390306631724
CIFAR-10,efficientnetb0,2,0.459199994802475,1.264477586368036,3.1561659773190818
CIFAR-10,efficientnetb0,3,0.448199987411499,1.4427983316267352,3.540969983736674
CIFAR-10,efficientnetb0,4,0.32440000772476196,1.5954302213938263,3.855775737762451
CIFAR-10,efficientnetb0,5,0.5703999996185303,1.752214102768974,4.183497595787048
CIFAR-10,efficientnetb0,6,0.505299985408783,1.902681654984391,4.4903018792470295
CIFAR-10,efficientnetb0,7,0.5911999940872192,2.0596595486721307,4.815975157419841
CIFAR-10,efficientnetb0,8,0.6021999716758728,2.214380264280905,5.136430378754934
CIFAR-10,efficientnetb0,9,0.5623000264167786,2.379378272428584,5.485521781444549
CIFAR-10,efficientnetb0,10,0.6010000109672546,2.5385341414348757,5.813854583104452
CIFAR-10,efficientnetb0,11,0.6323999762535095,2.702765756100849,6.159789590040843
CIFAR-10,efficientnetb0,12,0.6629999876022339,2.8683510186418495,6.509378182888031
CIFAR-10,efficientnetb0,13,0.6657999753952026,3.0309705024592835,6.8530712008476256
CIFAR-10,efficientnetb0,14,0.6650999784469604,3.1834377444923385,7.165471025307974
CIFAR-10,efficientnetb0,15,0.6787999868392944,3.345237115492951,7.509989984830221
CIFAR-10,efficientnetb0,16,0.6840999722480774,3.50361745469047,7.839081490039826
CIFAR-10,efficientnetb0,17,0.6773999929428101,3.6649937441778486,8.180654176076253
CIFAR-10,efficientnetb0,18,0.6753000020980835,3.8208340749486784,8.502284598350524
CIFAR-10,efficientnetb0,19,0.6959999799728394,3.9775789307694405,8.83519416252772
CIFAR-10,efficientnetb0,20,0.6625000238418579,4.13362269327465,9.158656760056813
CIFAR-10,efficientnetb0,21,0.6976000070571899,4.296952092205412,9.508786145846049
CIFAR-10,efficientnetb0,22,0.699999988079071,4.489972872473043,9.929508642355602
CIFAR-10,efficientnetb0,23,0.6861000061035156,4.647437440550389,10.256249543031057
CIFAR-10,efficientnetb0,24,0.6898000240325928,4.812729506284217,10.602897950013478
CIFAR-10,efficientnetb0,25,0.6919000148773193,4.9674729281830174,10.92223019997279
CIFAR-10,efficientnetb0,26,0.6929000020027161,5.146838113838538,11.308593920866649
CIFAR-10,efficientnetb0,27,0.70169997215271,5.3125024551656645,11.659990799427032
CIFAR-10,efficientnetb0,28,0.6973999738693237,5.476986151758119,12.00558629433314
CIFAR-10,efficientnetb0,29,0.7017999887466431,5.636974778699336,12.336715066432953
CIFAR-10,efficientnetb0,30,0.7060999870300293,5.8033423889414015,12.689814388751984
CIFAR-10,efficientnetb0,31,0.7032999992370605,5.987921522766567,13.085521411895751
CIFAR-10,efficientnetb0,32,0.7081999778747559,6.1564616597174,13.44030033349991
CIFAR-10,efficientnetb0,33,0.7020999789237976,6.325843915562964,13.797535332043966
CIFAR-10,efficientnetb0,34,0.7016000151634216,6.477996698792698,14.109332827727
CIFAR-10,efficientnetb0,35,0.7067999839782715,6.634125050347642,14.437690365314484
CIFAR-10,efficientnetb0,36,0.7045000195503235,6.786053696890205,14.749952455361685
CIFAR-10,efficientnetb0,37,0.7010999917984009,6.943046554142159,15.076132166385651
CIFAR-10,efficientnetb0,38,0.7056000232696533,7.133350077204354,15.489683961868286
CIFAR-10,efficientnetb0,39,0.7081000208854675,7.288094462541498,15.810165568192799
CIFAR-10,efficientnetb0,40,0.7027000188827515,7.440391666787521,16.11977359453837
CIFAR-10,efficientnetb0,41,0.7023000121116638,7.6019414592059915,16.463333920637766
CIFAR-10,efficientnetb0,42,0.7077000141143799,7.75926862402386,16.787745877106985
CIFAR-10,efficientnetb0,43,0.7139999866485596,7.920471428653776,17.132614040374754
CIFAR-10,efficientnetb0,44,0.7081999778747559,8.07537745056608,17.451333848635354
CIFAR-10,efficientnetb0,45,0.7092999815940857,8.233694674464058,17.78189484278361
CIFAR-10,efficientnetb0,46,0.7060999870300293,8.386876195838111,18.09676898320516
CIFAR-10,efficientnetb0,47,0.7093999981880188,8.544388749362927,18.4240242878596
CIFAR-10,efficientnetb0,48,0.7044000029563904,8.69861821782041,18.740739039580028
CIFAR-10,efficientnetb0,49,0.7139999866485596,8.875588769588198,19.11805971066157
CIFAR-10,efficientnetb0,50,0.7146000266075134,9.050191677096679,19.493398547172546
