dataset,model,epoch,val_accuracy,cumulative_co2_g
CIFAR-100,ResNet50,1,0.07850000262260437,1.0205097645909913
CIFAR-100,ResNet50,2,0.12380000203847885,1.3728364436482696
CIFAR-100,ResNet50,3,0.15320000052452087,1.7181540350558646
CIFAR-100,ResNet50,4,0.1906999945640564,2.0630372109268937
CIFAR-100,ResNet50,5,0.20239999890327454,2.405765380659024
CIFAR-100,ResNet50,6,0.2134999930858612,2.756442316926652
CIFAR-100,ResNet50,7,0.21570000052452087,3.104022484495193
CIFAR-100,ResNet50,8,0.24650000035762787,3.4481024199641506
CIFAR-100,ResNet50,9,0.25679999589920044,3.7939046285100497
CIFAR-100,ResNet50,10,0.24500000476837158,4.141133816364971
CIFAR-100,ResNet50,11,0.2565999925136566,4.485285072914303
CIFAR-100,ResNet50,12,0.2791999876499176,4.82758755265884
CIFAR-100,ResNet50,13,0.26930001378059387,5.18031524627448
CIFAR-100,ResNet50,14,0.25949999690055847,5.528038923478301
CIFAR-100,ResNet50,15,0.2745000123977661,5.873830063655206
CIFAR-100,ResNet50,16,0.24580000340938568,6.219749074189752
CIFAR-100,ResNet50,17,0.27059999108314514,6.574530909647621
CIFAR-100,ResNet50,18,0.26339998841285706,6.9200300797347625
CIFAR-100,ResNet50,19,0.2660999894142151,7.271208050100749
CIFAR-100,ResNet50,20,0.26179999113082886,7.622723956290239
CIFAR-100,ResNet50,21,0.2718999981880188,7.973016755553843
CIFAR-100,ResNet50,22,0.24950000643730164,8.318432614588346
CIFAR-100,ResNet50,23,0.272599995136261,8.668235889462784
CIFAR-100,ResNet50,24,0.2831999957561493,9.020844152081823
CIFAR-100,ResNet50,25,0.2732999920845032,9.36970413929412
CIFAR-100,ResNet50,26,0.2727999985218048,9.71709440765402
CIFAR-100,ResNet50,27,0.272599995136261,10.186775144649188
CIFAR-100,ResNet50,28,0.27149999141693115,10.53305555874066
CIFAR-100,ResNet50,29,0.27410000562667847,10.885425360688359
CIFAR-100,ResNet50,30,0.2815000116825104,11.233119945158952
CIFAR-100,ResNet50,31,0.29490000009536743,11.583600574513255
CIFAR-100,ResNet50,32,0.30149999260902405,11.929664963404155
CIFAR-100,ResNet50,33,0.2939999997615814,12.304514875814167
CIFAR-100,ResNet50,34,0.289900004863739,12.649087717117839
CIFAR-100,ResNet50,35,0.28459998965263367,12.997162947786059
CIFAR-100,ResNet50,36,0.29420000314712524,13.34892752845161
CIFAR-100,ResNet50,37,0.2759000062942505,13.698568204585788
CIFAR-100,ResNet50,38,0.2973000109195709,14.045361332382132
CIFAR-100,ResNet50,39,0.30790001153945923,14.418730039646409
CIFAR-100,ResNet50,40,0.2989000082015991,14.76462564316899
CIFAR-100,ResNet50,41,0.2978000044822693,15.112507930219866
CIFAR-100,ResNet50,42,0.30720001459121704,15.463965487860722
CIFAR-100,ResNet50,43,0.29679998755455017,15.815721195465867
CIFAR-100,ResNet50,44,0.30239999294281006,16.164694982399414
CIFAR-100,ResNet50,45,0.30720001459121704,16.515056703281964
CIFAR-100,ResNet50,46,0.28769999742507935,16.869459831383182
CIFAR-100,ResNet50,47,0.275299996137619,17.21725725695416
CIFAR-100,ResNet50,48,0.31119999289512634,17.56598771005658
CIFAR-100,ResNet50,49,0.30309998989105225,17.92274595858246
CIFAR-100,ResNet50,50,0.29649999737739563,18.27137769988388
